"id";"mapId";"player";"datetime";"medal";"timeSpent";"mapper";"styles";"skipType";"atTime";"finalTime";"currentMedalCount";"freeSkipCount";"pbBeforeFin";"mapTitle";"currentGoldCount"
62;172553;"Scrapie98";"2025-01-08 15:47:23.363543";"at";40527;"Telscn";"Mini,";"noskip";19158;19097;1;4;19277;"CM11 Half Piper";-1
63;86435;"Scrapie98";"2025-01-08 15:48:54.77066";"at";87289;"Dark_KirbyLoL";"LOL,";"noskip";12328;11333;2;4;-1;"Irgendwas #0191";-1
64;90141;"Scrapie98";"2025-01-08 15:49:26.803526";"gold";27102;"Serphal";"Mini,Remake,";"noskip";6371;6486;2;4;6576;"Winter 2023 - 18 CP1 is End";1
65;89754;"Scrapie98";"2025-01-08 15:50:07.48016";"at";35984;"fabysco";"LOL,";"noskip";9348;8815;3;4;-1;"fab lol #425";1
66;83893;"Scrapie98";"2025-01-08 15:50:49.141867";"at";37933;"carrera_rs";"Mixed,";"noskip";35398;34754;4;4;-1;"2face";1
67;199897;"Scrapie98";"2025-01-08 15:51:59.656323";"at";66598;"TwisstedSmiley";"SpeedFun,";"noskip";30478;30242;5;4;30902;"Exposure";1
68;194456;"Scrapie98";"2025-01-08 15:54:32.046941";"gold";143523;"RobynLtW";"SpeedFun,Plastic,";"noskip";53231;54598;5;4;79962;"DTC - XMen's Apocalypse";2
69;100316;"Scrapie98";"2025-01-08 15:55:53.059377";"at";76897;"QuentinTM15";"LOL,Remake,";"noskip";55554;52472;6;4;-1;"Winter 2023 - 15 (Start 1-Down)";2
70;69241;"Scrapie98";"2025-01-08 15:57:37.995805";"at";100819;"KlitlikasWTF";"Ice,Signature,Plastic,";"noskip";47113;42769;7;4;-1;"PLASTICE! 0430!";2
71;138201;"Scrapie98";"2025-01-08 16:00:28.761343";"gold";166149;"Mjollnir2963";"Mixed,";"noskip";59244;59656;7;4;65612;"Plus haut mec (Higher dude) V2";3
72;111390;"Scrapie98";"2025-01-08 16:01:34.597387";"at";61960;"Susuwi";"Water,";"noskip";62699;58379;8;4;-1;"Long Ice Straight";3
73;212913;"Scrapie98";"2025-01-08 16:05:45.924665";"at";246389;"Penguin.TM";"RPG,";"noskip";56384;52977;9;4;-1;"PenguinDip 2 PART 7";3
74;16366;"Scrapie98";"2025-01-08 16:08:49.860353";"at";176210;"nickrev";"MultiLap,Competitive,";"noskip";99278;98750;10;4;-1;"Hotlap";3
75;129774;"Scrapie98";"2025-01-08 16:09:19.8098";"at";26106;"ZrackZz";"Signature,";"noskip";10448;10116;11;4;10849;"KaasAppel #3 2nd PB is AT";3
76;22518;"Scrapie98";"2025-01-08 16:10:16.062144";"at";52614;"minitrax";"Race,";"noskip";32723;23064;12;4;-1;"Compact";3
